url,title,price,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1010062988,"1-комнатная квартира · 34 м² · 10/10 этаж, Сыганак 64/1 — Туркистан",21500000〒,,,,нет,Нет,2.7 м,2008,"Астана, Есильский р-н",,Уют,,полностью,паркинг,"34 м², Площадь кухни — 6 м²",линолеум,совмещенный,,,монолитный,10 из 10
https://krisha.kz/a/show/1009192058,"3-комнатная квартира · 95 м² · 14/24 этаж, Айнакол 66/1",55000000〒,лоджия,,"охрана, домофон, сигнализация, видеонаблюдение",нет,Нет,3 м,2021,"Астана, Алматы р-н",металлическая,Сенатор Park,оптика,полностью,паркинг,"95 м², Площадь кухни — 12 м²",ламинат,2 с/у и более,,нет,монолитный,14 из 24
https://krisha.kz/a/show/1009049204,"3-комнатная квартира · 145 м² · 5/20 этаж, Кенесары 65 — Уалиханова",59000000〒,несколько балконов или лоджий,,"домофон, видеонаблюдение",нет,Нет,2.7 м,2007,"Астана, р-н Байконур",бронированная,Эдем палас,оптика,полностью,,"145 м², Площадь кухни — 15 м²",ламинат,2 с/у и более,свежий ремонт,отдельный,монолитный,5 из 20
https://krisha.kz/a/show/1008210929,"1-комнатная квартира · 35 м² · 7/16 этаж, Мангилик Ел 72 — Хусейн Бен Талал",27500000〒,лоджия,,"домофон, видеонаблюдение",нет,Нет,2.7 м,2022,"Астана, Есильский р-н",,AMAN,,частично,,35 м²,ламинат,совмещенный,свежий ремонт,,монолитный,7 из 16
https://krisha.kz/a/show/1005109239,"3-комнатная квартира · 80 м² · 7/16 этаж, Б.Момышулы 27",41000000〒,балкон и лоджия,да,"домофон, видеонаблюдение",нет,Нет,2.8 м,2009,"Астана, Алматы р-н",деревянная,Независимость,через TV кабель,полностью,паркинг,"80 м², Площадь кухни — 10.8 м²",ламинат,2 с/у и более,,нет,монолитный,7 из 16
https://krisha.kz/a/show/1009649606,"2-комнатная квартира · 48 м² · 3/6 этаж, Ташенова 17",24500000〒,балкон,,,нет,Нет,,1989,"Астана, р-н Байконур",,,оптика,частично,,48 м²,ламинат,раздельный,,,,3 из 6
https://krisha.kz/a/show/1005706594,"2-комнатная квартира · 58 м² · 7/17 этаж, Толе би 16",42500000〒,лоджия,,"кодовый замок, видеонаблюдение, видеодомофон",нет,Нет,3 м,2024,"Астана, Нура р-н",металлическая,Dastur,,частично,паркинг,58 м²,ламинат,совмещенный,,,монолитный,7 из 17
https://krisha.kz/a/show/761314445,"2-комнатная квартира · 65 м² · 14/14 этаж, Мангилик ел 62/3 — ЭКСПО, Нацбанк, Мега силквей",53000000〒,лоджия,,"видеонаблюдение, видеодомофон",нет,Нет,2.7 м,2024,"Астана, Есильский р-н",металлическая,Hazar,,полностью,паркинг,65 м²,ламинат,2 с/у и более,свежий ремонт,,монолитный,14 из 14
https://krisha.kz/a/show/1010380882,"2-комнатная квартира · 64.5 м² · 9/9 этаж, Толе би 25",45500000〒,балкон,,,нет,Нет,3 м,2022,"Астана, Нура р-н",металлическая,Dastur,проводной,полностью,,"64.5 м², Площадь кухни — 10.8 м²",ламинат,совмещенный,,,кирпичный,9 из 9
https://krisha.kz/a/show/1010164231,"3-комнатная квартира · 115 м² · 6/8 этаж, Ыкылас Дукенулы 4",49000000〒,балкон,,домофон,нет,Нет,3 м,2011,Астана,,,,частично,паркинг,"115 м², Площадь кухни — 19.2 м²",ламинат,2 с/у и более,"не новый, но аккуратный ремонт",,монолитный,6 из 8
